"NC4_CC_P3","GastoTotal","ECigarrillo","QCigarrillo","GastoTotalMes","ECigarrilloMes","QCigarrilloMes","Wcigarrillo","Pcigarrillo","WcigarrilloMes","PcigarrilloMes"
1,340582525332.826,4662588348.87786,16489229.8064436,626128640354.313,12167648608.3233,43554950.2873639,1.36900398642633,282.765684244139,1.94331449228035,279.363161432728
3,9611704558.60412,68061385.2648612,289273.28760309,0,0,0,0.70810941857274,235.284031335267,,
2,1059484693.77984,274258.460496411,644.769751366856,976474596.258776,96993.0421036243,53.8850233909024,0.0258860238478728,425.358757781373,0.00993298161316633,1800
7,255995714.487659,6254699.13984289,11877.1512587039,0,0,0,2.44328275274483,526.616105462095,,
4,7623967.28186911,0,0,0,0,0,0,,,
6,649424710.502536,45987302.6791363,158019.687841147,0,0,0,7.08123696795438,291.022614380596,,
5,50189657.3275055,0,0,0,0,0,0,,,
