"P8520S1A1","GastoTotal","ECigarrillo","QCigarrillo","GastoTotalMes","ECigarrilloMes","QCigarrilloMes","Wcigarrillo","Pcigarrillo","WcigarrilloMes","PcigarrilloMes"
2,118419375200.521,1812043794.67613,6632034.57271045,222294693482.66,4805659303.34461,18005722.1179414,1.53019199063309,273.2259270982,2.16184166524851,266.8962273141
1,72822440732.2027,1004883777.34033,3249939.43877341,139165228782.338,2703533278.30397,8247493.54024239,1.37990949937491,309.200770128687,1.94267871504918,327.800593612167
3,110322006069.953,1554073252.02512,5611904.54635815,191375023172.471,3769567601.46469,14105341.455638,1.40867022581126,276.924391565719,1.96972809668453,267.243980822454
4,29477550349.3159,281396539.788852,957058.839880612,44499730360.4489,576372819.546683,1941461.93240727,0.954613040955702,294.022193895576,1.29522766739944,296.875673906222
6,6968915357.03724,30971015.3830891,116608.84169007,9054616901.05301,94895034.4446986,402329.103213392,0.444416581295029,265.597487585082,1.04802925934572,235.864205911962
5,12783208236.2371,84803888.1237887,312169.217572359,18358269589.917,170216922.271069,628758.491446773,0.663400662467437,271.659995124701,0.927194806881788,270.719083060651
0,452819403.403337,11605883.8925098,58077.8645959933,709830710.35345,38886302.4596968,200420.134677962,2.5630270711196,199.833171781431,5.47825022114553,194.023931388829
