"P6210","GastoTotal","ECigarrillo","QCigarrillo","GastoTotalMes","ECigarrilloMes","QCigarrilloMes","NivelEduc","Wcigarrillo","Pcigarrillo","WcigarrilloMes","PcigarrilloMes"
5,98525959740.4879,1263323775.9747,4494595.89275858,180732889381.93,3048198315.6151,11208430.5495988,"5Media",1.2822242780504,281.076164824983,1.68657643112956,271.955855204385
4,49111430244.9997,882460562.099813,3022136.66810738,91886473090.0756,2190357373.22751,7721338.73340733,"4Secundaria",1.79685372162351,291.998893171319,2.3837647692499,283.675855813793
3,82671484462.9574,1509909748.90268,5486217.34141227,156008393655.414,4031760770.70254,14252010.4793108,"3Primaria",1.82639728645398,275.218726298947,2.58432298175426,282.890668411684
1,8716419310.2332,134779466.822004,519767.699664684,17283374867.0499,364489417.764311,1383979.16114755,"1Ninguno",1.54627103200245,259.307122987738,2.10890188153701,263.363371354587
6,109087870213.201,876927969.664696,3064037.99679507,175237703480.87,2260581145.93041,8068646.43621804,"6Superior",0.803873031851143,286.200096272287,1.29000842913762,280.168571494626
2,396429373.189097,6921627.99191939,16843.6914363863,547491788.067256,10061519.9771441,25101.3334437777,"2Preescolar",1.74599271901524,410.932960750342,1.83774810808818,400.836075090594
