"REGION","GastoTotal","ECigarrillo","QCigarrillo","GastoTotalMes","ECigarrilloMes","QCigarrilloMes","Wcigarrillo","Pcigarrillo","WcigarrilloMes","PcigarrilloMes"
"PACÍFICA           ",41997949106.0406,489519091.322121,1850208.91310028,67586408130.027,1248563818.87369,4948301.93400551,1.16557856214868,264.575036827524,1.84735933365718,252.321672267685
"BOGOTÁ             ",99085997436.4374,1303392901.56267,4006991.7704871,182456011427.415,3336034372.65886,10208396.4193147,1.31541583602545,325.279655217317,1.82840474619605,326.793184319033
"ORIENTAL           ",37521437870.2247,611033464.209499,2169436.97779092,53286007154.2478,1469629489.3731,5140379.05240881,1.62849160078267,281.655319082694,2.75800264996201,285.899050320894
"CENTRAL            ",101462931531.369,1920503454.9575,7448716.3834951,182556853729.183,4988933937.94668,19284692.1670423,1.89281289823934,257.830122141979,2.73281108653834,258.699174180899
"NUEVO DEPARTAMENTOS",1306603419.94306,18591480.4168542,19999.4493290363,1485109413.49167,32373297.3705802,39310.148269582,1.42288625095321,929.599616018528,2.17985941483373,823.535366709123
"ATLÁNTICA          ",70224618360.8225,435286463.515216,1446618.95549615,138607410504.026,1085710416.05147,3926053.82869167,0.619848813244755,300.899184171083,0.783298968001377,276.539870166089
"SAN ANDRÉS         ",617410909.972304,4839138.43833838,7072.25319928774,1127314592.18183,6500269.09100217,7870.62265476275,0.783779223881134,684.242815122305,0.576615359730364,825.89006945577
